,,Sala,-additional
Danilo Gallinari,SAS,$16907880,gallida01
Mo Bamba,ORL,$10300000,bambamo01
Talen Horton-Tucker,UTA,$10260000,hortota01
Jae Crowder,PHO,$10183800,crowdja01
Derrick Favors,HOU,$10183800,favorde01
Ivica Zubac,LAC,$10123457,zubaciv01
Reggie Bullock,DAL,$10012800,bullore01
Alec Burks,DET,$10012800,burksal01
Danny Green,MEM,$10000000,greenda02
Chet Holmgren,OKC,$9891240,holmgch01
De'Andre Hunter,ATL,$9835881,huntede01
Larry Nance Jr.,NOP,$9672727,nancela02
James Wiseman,GSW,$9603360,wisemja01
Landry Shamet,PHO,$9500000,shamela01
Malik Monk,SAC,$9472219,monkma01
Jalen Green,HOU,$9441840,greenja05
Jakob Poeltl,SAS,$9398148,poeltja01
Dario Šarić,PHO,$9240000,saricda01
Nerlens Noel,DET,$9240000,noelne01
Royce O'Neale,BRK,$9200000,onealro01
Kemba Walker,DET,$9165471,walkeke02
Monte Morris,WAS,$9125000,morrimo01
Mason Plumlee,CHO,$9080417,plumlma01
Alex Caruso,CHI,$9030000,carusal01
Maxi Kleber,DAL,$9000000,klebima01
Darius Garland,CLE,$8920795,garlada01
Jabari Smith Jr.,HOU,$8882640,smithja05
Nicolas Batum,CHO,$19700319,batumni01
Kyle Anderson,MIN,$8780488,anderky01
Victor Oladipo,MIA,$8750000,oladivi01
Daniel Theis,IND,$8694369,theisda01
LaMelo Ball,CHO,$8623920,ballla01
Nic Claxton,BRK,$8500000,claxtni01
Grayson Allen,MIL,$8500000,allengr01
Seth Curry,BRK,$8496653,curryse01
Evan Mobley,CLE,$8478720,mobleev01
Gary Payton II,POR,$8300000,paytoga02
De'Anthony Melton,PHI,$8250000,meltode01
JaMychal Green,OKC,$10036090,greenja01
T.J. McConnell,IND,$8100000,mccontj01
Keegan Murray,SAC,$8008440,murrake02
Kevon Looney,GSW,$8000000,looneke01
Thaddeus Young,TOR,$8000000,youngth01
DeAndre Jordan,DET,$9663997,jordade01
Isaiah Hartenstein,NYK,$7804879,harteis01
